Symbol,baseMean,log2FoldChange,padj
Tpd52l2,1525.648066,-0.123584582,0.195769515
Fmr1,4287.310979,-0.568910746,0.171970106
Bcl11a,23.11397627,0.620933506,0.536983594
Il4,21.57671921,-0.023300717,0.978114435
Pxmp4,2493.936341,-0.071524732,0.763701766
Dlg3,164.0842458,0.170783599,0.568756672
Gnb1l,92.22781094,0.043028361,0.882339288
Dbh,0.311367669,-0.863178149,
Mmp11,1298.342105,1.844460224,0.000214317
Smarcb1,970.8921711,-0.0729002,0.455924015
Vpreb3,2.405440626,1.955730636,
Hip1r,519.1653341,0.092620316,0.775651178
Nsun5,356.1570297,0.031731526,0.835071253
Top1mt,214.3686577,0.096833696,0.736667492
Hoxa10,570.6162679,0.241854141,0.035512566
Hoxa4,45.83617312,0.562721375,0.190126286
Gm38393,446.1568774,0.002796004,0.997745482
Mmp14,2097.514867,0.28785268,0.393471714
Slc7a7,146.6577988,-0.191751145,0.51804318
Oxa1l,1765.721318,0.126370962,0.315673258
Heatr6,835.4492039,-0.133441972,0.236276925
Ccl3,3.304110528,0.424126844,
Wfdc18,4.762124689,-0.349713578,
Icam4,2.376573359,0.208149605,
Ilf2,989.708734,-0.097745279,0.289057479
Chtop,1793.315916,-0.083941885,0.324892105
Snapin,1450.676174,0.209724883,0.137950108
S100a4,274.8938725,0.371146073,0.27805067
S100a3,325.8619473,-0.89162285,0.844147025
S100a5,0.071137779,-0.315163641,
S100a6,2533.975721,-0.104299511,0.796564145
Scn4a,1098.768308,3.649380019,0.070063954
Icam2,301.2742693,-0.191624713,0.399416127
Mapk7,492.1156815,-0.021688364,0.928350399
Epn2,1468.511394,-0.15775176,0.431235199
B9d1,77.70157246,-0.22510144,0.526945132
Sec24b,2902.138126,0.20499774,0.508122768
N4bp3,297.6487272,0.19477251,0.314353313
Rmnd5b,578.4495185,-0.018279748,0.938139717
Nhp2,476.6220135,0.215074416,0.38960907
Vps9d1,576.0395789,0.064244926,0.687322883
Zfp276,521.5420842,0.077572952,0.656545598
C1ql4,0.223536176,0.509225559,
Mfsd10,542.9869458,-0.031771245,0.932026012
Luzp1,1484.360575,0.003883494,0.985609872
